id,nombre,email,telefono,empresa,cargo,pais,origen,softwareId,estado,prioridad,asignadoA,ultimoContacto,createdAt,updatedAt,web,direccion,ciudad,rating,userRatingCount,googleMapsUri,primaryType,businessStatus,notas
cmpcyjlev000cih9u1fs49rho,Centro de Entrenamiento Tono Fitness,,626 49 57 15,Centro de Entrenamiento Tono Fitness,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:43.784Z,2026-05-19T18:19:43.784Z,http://www.tonofitness.com/,"C. de Fernando el Santo, 3, Local Derecha, Chamberí, 28010 Madrid",Madrid,4.8,69,https://maps.google.com/?cid=13820161157610943904&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de Fernando el Santo, 3, Local Derecha, Chamberí, 28010 Madrid
Google: 4.8⭐ (69 reseñas)
Web: http://www.tonofitness.com/
Maps: https://maps.google.com/?cid=13820161157610943904&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjlp8000dih9uudsut3p8,JG fitness Príncipe de Vergara | Entrenador personal & Electroestimulación | Madrid,,682 71 15 70,JG fitness Príncipe de Vergara | Entrenador personal & Electroestimulación | Madrid,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:44.157Z,2026-05-19T18:19:44.157Z,https://jgfitness.es/centros/principe-de-vergara/,"Calle del Príncipe de Vergara, 208, Chamartín, 28002 Madrid",Madrid,5,125,https://maps.google.com/?cid=1498827106119919117&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Calle del Príncipe de Vergara, 208, Chamartín, 28002 Madrid
Google: 5⭐ (125 reseñas)
Web: https://jgfitness.es/centros/principe-de-vergara/
Maps: https://maps.google.com/?cid=1498827106119919117&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjlz2000eih9uedty2zms,Personal | Running & Wellness Hub,,915 39 22 82,Personal | Running & Wellness Hub,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:44.510Z,2026-05-19T18:19:44.510Z,https://www.personalrunning.com/,"C. Andrés Torrejón, 22, Retiro, 28014 Madrid",Madrid,4.8,293,https://maps.google.com/?cid=2128753496060232462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. Andrés Torrejón, 22, Retiro, 28014 Madrid
Google: 4.8⭐ (293 reseñas)
Web: https://www.personalrunning.com/
Maps: https://maps.google.com/?cid=2128753496060232462&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjm87000fih9u0q92l6g6,Studio fitness Danny Pinasco | Entrenador Personal en Madrid,,657 97 56 65,Studio fitness Danny Pinasco | Entrenador Personal en Madrid,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:44.839Z,2026-05-19T18:19:44.839Z,,"C. del Camino Viejo de Leganés, 153, Carabanchel, 28025 Madrid",Madrid,5,129,https://maps.google.com/?cid=6527790720871284048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. del Camino Viejo de Leganés, 153, Carabanchel, 28025 Madrid
Google: 5⭐ (129 reseñas)
Maps: https://maps.google.com/?cid=6527790720871284048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjmhc000gih9u6iaz7ch7,Entrenador Personal Chema Menéndez,,,Entrenador Personal Chema Menéndez,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:45.168Z,2026-05-19T18:19:45.168Z,https://entrenadorpersonalmadridcentro.com/,"Calle de Luciente, 7, bajo derecha, Centro, 28005 Madrid",Madrid,4.9,114,https://maps.google.com/?cid=6363471707573738114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Calle de Luciente, 7, bajo derecha, Centro, 28005 Madrid
Google: 4.9⭐ (114 reseñas)
Web: https://entrenadorpersonalmadridcentro.com/
Maps: https://maps.google.com/?cid=6363471707573738114&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjmqm000hih9uwogafe8d,Entrenador Personal - Eduardo Ramajo,,620 33 05 76,Entrenador Personal - Eduardo Ramajo,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:45.502Z,2026-05-19T18:19:45.502Z,https://www.instagram.com/ed.ramajo/,"C. de Sta. María Micaela, Moncloa - Aravaca, 28008 Madrid",Madrid,5,30,https://maps.google.com/?cid=10816799048315829515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de Sta. María Micaela, Moncloa - Aravaca, 28008 Madrid
Google: 5⭐ (30 reseñas)
Web: https://www.instagram.com/ed.ramajo/
Maps: https://maps.google.com/?cid=10816799048315829515&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjmzt000iih9u4zyffhg5,Entrenadores Personales Madrid,,645 01 26 72,Entrenadores Personales Madrid,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:45.833Z,2026-05-19T18:19:45.833Z,http://www.entrenadorespersonalesmadrid.com/,"C. de Colombia, 18, Chamartín, 28016 Madrid",Madrid,4.9,82,https://maps.google.com/?cid=16052777969177730979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,gym,OPERATIONAL,"Importado desde Google Maps
Tipo: Gimnasio
Dirección: C. de Colombia, 18, Chamartín, 28016 Madrid
Google: 4.9⭐ (82 reseñas)
Web: http://www.entrenadorespersonalesmadrid.com/
Maps: https://maps.google.com/?cid=16052777969177730979&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjn8v000jih9uk7qvt79o,JG fitness Chamberí | Entrenador personal & Electroestimulación | Barrio Chamberí,,652 76 88 81,JG fitness Chamberí | Entrenador personal & Electroestimulación | Barrio Chamberí,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:46.159Z,2026-05-19T18:19:46.159Z,https://jgfitness.es/centros/chamberi/,"C. de Sagunto, 15, Chamberí, 28010 Madrid",Madrid,4.9,182,https://maps.google.com/?cid=12310189765460646855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de Sagunto, 15, Chamberí, 28010 Madrid
Google: 4.9⭐ (182 reseñas)
Web: https://jgfitness.es/centros/chamberi/
Maps: https://maps.google.com/?cid=12310189765460646855&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjni5000kih9umd3p7x9e,Centro de Entrenamiento Personal Juan Ruiz López,,910 82 55 65,Centro de Entrenamiento Personal Juan Ruiz López,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:46.493Z,2026-05-19T18:19:46.493Z,http://www.cepjuanruizlopez.es/,"Calle del General Arrando, 5, Chamberí, 28010 Madrid",Madrid,4.8,48,https://maps.google.com/?cid=2043595630628591656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: Calle del General Arrando, 5, Chamberí, 28010 Madrid
Google: 4.8⭐ (48 reseñas)
Web: http://www.cepjuanruizlopez.es/
Maps: https://maps.google.com/?cid=2043595630628591656&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
cmpcyjnrc000lih9u44zxwcm1,Adrián Molinero Entrenador Personal & Fitness Coach,,611 16 36 38,Adrián Molinero Entrenador Personal & Fitness Coach,,España,google-maps,atleevo,NUEVO,MEDIA,,,2026-05-19T18:19:46.824Z,2026-05-19T18:19:46.824Z,https://amfitnessycoaching.com/,"C. de la Virgen María, 5, Retiro, 28007 Madrid",Madrid,4.9,93,https://maps.google.com/?cid=8908129559505834670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,health,OPERATIONAL,"Importado desde Google Maps
Tipo: Salud y bienestar
Dirección: C. de la Virgen María, 5, Retiro, 28007 Madrid
Google: 4.9⭐ (93 reseñas)
Web: https://amfitnessycoaching.com/
Maps: https://maps.google.com/?cid=8908129559505834670&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA"
